Tsg_normal,Tsg_disease
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.44168296197899,1.42985073027207
0.970170746455774,-0.225791201670716
0.474481886626417,-0.0350782407285515
-0.516922737980871,0.244628777627121
0.838231471326374,0.405874923989016
-1.51567897805682,-0.665160340418083
0.485635406145689,1.24499878375793
-0.272648785811972,-1.10797066602186
-1.38281197364922,-1.2200140434223
1.64013064859409,1.16605611385585
